group,time_hour,picogreen_cells,cell_viability,sircol_collagen_ug,bradford_protein_ug_per_ml
config_Scaffold_GH2,0,156870.7554,0.873009709,40.35477351,1659.834558
config_Scaffold_GH2,0,129967.34,0.857631466,27.88087029,2152.350674
config_Scaffold_GH2,0,135428.05,0.902726146,27.76150279,1851.84912
config_Scaffold_GH2,72,199242.8222,0.910516605,69.33123291,2103.914568
config_Scaffold_GH2,72,202328.6584,0.899492631,79.35810248,2010.502078
config_Scaffold_GH2,72,199322.5743,0.892400651,80.90987992,2066.351874
config_Scaffold_GH2,144,142278.2914,0.870786517,102.9331827,2015.197415
config_Scaffold_GH2,144,135489.8328,0.867274569,153.3659494,2014.950292
config_Scaffold_GH2,144,137343.7298,0.879360465,160.4086316,2095.759509
config_Scaffold_GH2,216,152198.8587,0.878008881,107.4691475,2093.782525
config_Scaffold_GH2,216,150815.581,0.868106618,86.40078469,2198.562673
config_Scaffold_GH2,216,147938.7879,0.871257485,123.0466056,2100.701969
config_Scaffold_GH5,0,73919.82011,0.898155265,12.95993342,1800.200415
config_Scaffold_GH5,0,53630.93024,0.895631068,78.82094876,1803.165891
config_Scaffold_GH5,0,112182.3381,0.8963601,32.44667697,1871.124713
config_Scaffold_GH5,72,95709.57447,0.886330935,112.0647961,2033.978762
config_Scaffold_GH5,72,96575.96034,0.893421536,143.6673404,2168.413668
config_Scaffold_GH5,72,108787.2922,0.904462602,124.2104387,2118.741947
config_Scaffold_GH5,144,130807.3207,0.828348505,96.63654738,2395.519694
config_Scaffold_GH5,144,134900.8102,0.846511628,87.44525027,2123.437284
config_Scaffold_GH5,144,150516.7146,0.875102375,86.43062656,1984.307042
config_Scaffold_GH5,216,148466.8397,0.856420343,49.63559624,2117.259209
config_Scaffold_GH5,216,141988.1351,0.879726206,75.41897515,2206.964854
config_Scaffold_GH5,216,160325.139,0.866129032,84.64011414,1990.732239
config_Scaffold_GH10,0,198251.7725,0.893313668,41.39923909,1857.532948
config_Scaffold_GH10,0,141202.0458,0.914434524,28.35834027,1803.413014
config_Scaffold_GH10,0,154631.4351,0.900496213,38.44489359,1751.764309
config_Scaffold_GH10,72,142278.2914,0.904415332,64.88479372,2095.265263
config_Scaffold_GH10,72,135489.8328,0.90111025,105.4399001,1947.979962
config_Scaffold_GH10,72,137343.7298,0.894937513,99.41184164,1988.261009
config_Scaffold_GH10,144,135355.6423,0.881422925,81.35750803,2087.110205
config_Scaffold_GH10,144,126707.2986,0.899070385,57.27511592,2197.574181
config_Scaffold_GH10,144,152208.1132,0.929340511,39.63856854,2194.114459
config_Scaffold_GH10,216,158185.1686,0.869748944,68.3166092,2327.066627
config_Scaffold_GH10,216,161892.9626,0.865962892,82.90928546,2063.880644
config_Scaffold_GH10,216,,,106.0665795,
